"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Позитивный тест: проверка что после авторизации происходит успешный переход на страницу ReadUserWithCars по URL","0","Проверка корректного перехода на страницу информации о пользователях с автомобилями","Team three PFLB Test","Tue Aug 19 16:18:32 UTC 2025","skipped","Tue Aug 19 16:18:32 UTC 2025","tests.ui.ReadUserWithCarsTest","Chrome","tests.ui.ReadUserWithCarsTest","openedReadUserWithCarsPage"
"Тест #[{index}]: user={0}, password={1}, ожидаемый alert={2}","1","checkLoginNegativeCases","Team three PFLB Test","Tue Aug 19 16:18:33 UTC 2025","skipped","Tue Aug 19 16:18:33 UTC 2025","tests.ui.LoginTest","Chrome","tests.ui.LoginTest","checkLoginNegativeCases"
"Негативный сценарий: пополнение баланса отрицательным значением","1","Система должна отклонять попытки пополнения баланса отрицательной суммой","Team three PFLB Test","Tue Aug 19 16:18:33 UTC 2025","skipped","Tue Aug 19 16:18:33 UTC 2025","tests.ui.AddMoneyTest","Chrome","tests.ui.AddMoneyTest","checkNegativeMoney"
"","1","setup","Team three PFLB Test","Tue Aug 19 16:18:33 UTC 2025","broken","Tue Aug 19 16:18:33 UTC 2025","tests.ui.AddMoneyTest","Chrome","tests.ui.AddMoneyTest","setup"
"Проверка продажи авто","1","Тест проверяет продажу авто","Team three PFLB Test","Tue Aug 19 16:18:34 UTC 2025","skipped","Tue Aug 19 16:18:34 UTC 2025","tests.ui.CarTest","Chrome","tests.ui.CarTest","sellCar"
"Негативный сценарий: создание пользователя без указания имени","1","Система должна отклонять попытку создания пользователя с пустым именем","Team three PFLB Test","Tue Aug 19 16:18:33 UTC 2025","skipped","Tue Aug 19 16:18:33 UTC 2025","tests.ui.CreateUserTest","Chrome","tests.ui.CreateUserTest","checkEmptyFirstName"
"Проверка корректности навигации к форме пополнения баланса пользователя","1","После успешной авторизации система должна корректно открывать форму пополнения баланса","Team three PFLB Test","Tue Aug 19 16:18:33 UTC 2025","skipped","Tue Aug 19 16:18:33 UTC 2025","tests.ui.AddMoneyTest","Chrome","tests.ui.AddMoneyTest","openedAddMoneyPage"
"Проверка boundary-значения для минимальной суммы пополнения","0","Система должна корректно обрабатывать минимально допустимую сумму пополнения (0.01)","Team three PFLB Test","Tue Aug 19 16:18:33 UTC 2025","skipped","Tue Aug 19 16:18:33 UTC 2025","tests.ui.AddMoneyTest","Chrome","tests.ui.AddMoneyTest","checkMinAndMaxMoney"
"Проверка создания нового авто","0","Тест проверяет создание нового авто","Team three PFLB Test","Tue Aug 19 16:18:34 UTC 2025","skipped","Tue Aug 19 16:18:34 UTC 2025","tests.ui.CarTest","Chrome","tests.ui.CarTest","createCar"
"Проверка обработки нулевого значения при пополнении баланса","0","Система должна корректно обрабатывать попытку пополнения на нулевую сумму","Team three PFLB Test","Tue Aug 19 16:18:33 UTC 2025","skipped","Tue Aug 19 16:18:33 UTC 2025","tests.ui.AddMoneyTest","Chrome","tests.ui.AddMoneyTest","checkZeroMoney"
"E2E тест создания и проверки пользователя: 1. Генерация случайного пользователя 2. Создание пользователя через UI 3. Проверка его отображения в таблице UsersReadAll","0","Проверка отображения созданного пользователя в общем списке","Team three PFLB Test","Tue Aug 19 16:18:33 UTC 2025","skipped","Tue Aug 19 16:18:33 UTC 2025","tests.ui.UsersReadAllTest","Chrome","tests.ui.UsersReadAllTest","checkNewUserInTable"
"Негативный сценарий: пополнение баланса текстовым значением","0","Система должна отклонять нечисловые значения в поле суммы","Team three PFLB Test","Tue Aug 19 16:18:33 UTC 2025","skipped","Tue Aug 19 16:18:33 UTC 2025","tests.ui.AddMoneyTest","Chrome","tests.ui.AddMoneyTest","checkMoneyWithText"
"Тест #[{index}]: user={0}, password={1}, ожидаемый alert={2}","0","checkLoginNegativeCases","Team three PFLB Test","Tue Aug 19 16:18:33 UTC 2025","skipped","Tue Aug 19 16:18:33 UTC 2025","tests.ui.LoginTest","Chrome","tests.ui.LoginTest","checkLoginNegativeCases"
"Проверка корректности навигации к форме создания пользователя","0","После успешной авторизации система должна корректно открывать форму создания нового пользователя","Team three PFLB Test","Tue Aug 19 16:18:33 UTC 2025","skipped","Tue Aug 19 16:18:33 UTC 2025","tests.ui.CreateUserTest","Chrome","tests.ui.CreateUserTest","openedCreateNewPage"
"Позитивный сценарий создания пользователя с полным набором валидных данных","0","Система должна успешно создавать пользователя при заполнении всех обязательных полей валидными данными","Team three PFLB Test","Tue Aug 19 16:18:33 UTC 2025","skipped","Tue Aug 19 16:18:33 UTC 2025","tests.ui.CreateUserTest","Chrome","tests.ui.CreateUserTest","checkValidUserCreation"
"Комплексная проверка: поиск пользователя по ID и верификация всех его данных в таблице (личные данные и информация об автомобиле)","0","Проверка корректного отображения данных пользователя в таблице","Team three PFLB Test","Tue Aug 19 16:18:32 UTC 2025","skipped","Tue Aug 19 16:18:32 UTC 2025","tests.ui.ReadUserWithCarsTest","Chrome","tests.ui.ReadUserWithCarsTest","checkUserInTable"
"Проверка корректного отображения страницы UsersReadAll: 1. Видимость элементов управления 2. Наличие данных в таблице 3. Работа сортировки по ID 4. Работа сортировки по имени","0","Комплексная проверка страницы со списком всех пользователей","Team three PFLB Test","Tue Aug 19 16:18:33 UTC 2025","skipped","Tue Aug 19 16:18:33 UTC 2025","tests.ui.UsersReadAllTest","Chrome","tests.ui.UsersReadAllTest","checkOpenUsersReadAll"
"","0","setup","Team three PFLB Test","Tue Aug 19 16:18:33 UTC 2025","broken","Tue Aug 19 16:18:33 UTC 2025","tests.ui.UsersReadAllTest","Chrome","tests.ui.UsersReadAllTest","setup"
"","2","setup","Team three PFLB Test","Tue Aug 19 16:18:32 UTC 2025","broken","Tue Aug 19 16:18:32 UTC 2025","tests.ui.ReadUserWithCarsTest","Chrome","tests.ui.ReadUserWithCarsTest","setup"
"Позитивный тест: проверка что поле ввода корректно принимает и обрабатывает вводимые данные","1","Проверка функциональности поля ввода на странице","Team three PFLB Test","Tue Aug 19 16:18:32 UTC 2025","skipped","Tue Aug 19 16:18:32 UTC 2025","tests.ui.ReadUserWithCarsTest","Chrome","tests.ui.ReadUserWithCarsTest","checkInput"
"Тест #[{index}]: user={0}, password={1}, ожидаемый alert={2}","0","checkLoginNegativeCases","Team three PFLB Test","Tue Aug 19 16:18:33 UTC 2025","skipped","Tue Aug 19 16:18:33 UTC 2025","tests.ui.LoginTest","Chrome","tests.ui.LoginTest","checkLoginNegativeCases"
"Позитивный тест авторизации: ввод валидного email и пароля, проверка сообщения об успешной авторизации","0","Проверка успешной авторизации с корректными учетными данными","Team three PFLB Test","Tue Aug 19 16:18:33 UTC 2025","skipped","Tue Aug 19 16:18:33 UTC 2025","tests.ui.LoginTest","Chrome","tests.ui.LoginTest","successfulLoginWithValidCredentials"
"Негативный сценарий: проверка валидации нулевого возраста","0","Система должна отклонять попытки создания пользователя с нулевым возрастом","Team three PFLB Test","Tue Aug 19 16:18:33 UTC 2025","skipped","Tue Aug 19 16:18:33 UTC 2025","tests.ui.CreateUserTest","Chrome","tests.ui.CreateUserTest","checkZeroAgeValidation"
"","0","setup","Team three PFLB Test","Tue Aug 19 16:18:33 UTC 2025","broken","Tue Aug 19 16:18:33 UTC 2025","tests.ui.LoginTest","Chrome","tests.ui.LoginTest","setup"
"Сортировка авто по id","0","Сортировка авто по id","Team three PFLB Test","Tue Aug 19 16:18:34 UTC 2025","skipped","Tue Aug 19 16:18:34 UTC 2025","tests.ui.CarTest","Chrome","tests.ui.CarTest","sortCars"
"Проверка boundary-значений для поля возраста пользователя","1","Проверка граничных значений возраста (1 год и 123 года) при создании пользователя","Team three PFLB Test","Tue Aug 19 16:18:33 UTC 2025","skipped","Tue Aug 19 16:18:33 UTC 2025","tests.ui.CreateUserTest","Chrome","tests.ui.CreateUserTest","checkMinimumAge"
"Проверка что на странице ReadUserWithCars присутствуют все необходимые элементы навигации и управления","0","Проверка отображения всех элементов навигации на странице","Team three PFLB Test","Tue Aug 19 16:18:32 UTC 2025","skipped","Tue Aug 19 16:18:32 UTC 2025","tests.ui.ReadUserWithCarsTest","Chrome","tests.ui.ReadUserWithCarsTest","checkUsersReadAllWithCarsNavBar"
"Проверка обработки нестандартных символов в поле фамилии","1","Проверка поддержки специальных символов и цифр в поле фамилии пользователя","Team three PFLB Test","Tue Aug 19 16:18:33 UTC 2025","skipped","Tue Aug 19 16:18:33 UTC 2025","tests.ui.CreateUserTest","Chrome","tests.ui.CreateUserTest","createUserWithNonStandardLastName"
"Проверка покупки авто. Негативный","1","Тест проверяет покупку авто. Негативный","Team three PFLB Test","Tue Aug 19 16:18:34 UTC 2025","skipped","Tue Aug 19 16:18:34 UTC 2025","tests.ui.CarTest","Chrome","tests.ui.CarTest","buyCarNegative"
"Тест #[{index}]: user={0}, password={1}, ожидаемый alert={2}","0","checkLoginNegativeCases","Team three PFLB Test","Tue Aug 19 16:18:33 UTC 2025","skipped","Tue Aug 19 16:18:33 UTC 2025","tests.ui.LoginTest","Chrome","tests.ui.LoginTest","checkLoginNegativeCases"
"Проверка продажи авто. Негативный","0","Тест проверяет продажу авто. Негативный","Team three PFLB Test","Tue Aug 19 16:18:34 UTC 2025","skipped","Tue Aug 19 16:18:34 UTC 2025","tests.ui.CarTest","Chrome","tests.ui.CarTest","sellCarNegative"
"Проверка покупки авто","0","Тест проверяет покупку авто","Team three PFLB Test","Tue Aug 19 16:18:34 UTC 2025","skipped","Tue Aug 19 16:18:34 UTC 2025","tests.ui.CarTest","Chrome","tests.ui.CarTest","buyCar"
"Проверка создания нового авто. Негативный","0","Тест проверяет создание нового авто","Team three PFLB Test","Tue Aug 19 16:18:34 UTC 2025","skipped","Tue Aug 19 16:18:34 UTC 2025","tests.ui.CarTest","Chrome","tests.ui.CarTest","createCarNegative"
"Тест #[{index}]: user={0}, password={1}, ожидаемый alert={2}","0","checkLoginNegativeCases","Team three PFLB Test","Tue Aug 19 16:18:33 UTC 2025","skipped","Tue Aug 19 16:18:33 UTC 2025","tests.ui.LoginTest","Chrome","tests.ui.LoginTest","checkLoginNegativeCases"
"Негативный сценарий: проверка валидации отрицательного возраста","1","Система должна блокировать создание пользователей с отрицательным возрастом","Team three PFLB Test","Tue Aug 19 16:18:33 UTC 2025","skipped","Tue Aug 19 16:18:33 UTC 2025","tests.ui.CreateUserTest","Chrome","tests.ui.CreateUserTest","checkNegativeAgeValidation"
"Проверка создания пользователя с предельно допустимым возрастом","1","Система должна корректно обрабатывать максимально допустимый возраст пользователя (123 года)","Team three PFLB Test","Tue Aug 19 16:18:33 UTC 2025","skipped","Tue Aug 19 16:18:33 UTC 2025","tests.ui.CreateUserTest","Chrome","tests.ui.CreateUserTest","checkMaxAgeLimitValidation"
"Негативный сценарий: создание пользователя без указания пола","0","Проверка обязательности выбора пола при создании пользователя","Team three PFLB Test","Tue Aug 19 16:18:33 UTC 2025","skipped","Tue Aug 19 16:18:33 UTC 2025","tests.ui.CreateUserTest","Chrome","tests.ui.CreateUserTest","createUserWithoutSexSelection"
"","0","setup","Team three PFLB Test","Tue Aug 19 16:18:34 UTC 2025","broken","Tue Aug 19 16:18:34 UTC 2025","tests.ui.CarTest","Chrome","tests.ui.CarTest","setup"
"Позитивный сценарий пополнения баланса пользователя","0","Система должна успешно обрабатывать запрос на пополнение баланса при валидных данных","Team three PFLB Test","Tue Aug 19 16:18:33 UTC 2025","skipped","Tue Aug 19 16:18:33 UTC 2025","tests.ui.AddMoneyTest","Chrome","tests.ui.AddMoneyTest","checkValidMoneyAddition"
"","0","setup","Team three PFLB Test","Tue Aug 19 16:18:33 UTC 2025","broken","Tue Aug 19 16:18:33 UTC 2025","tests.ui.CreateUserTest","Chrome","tests.ui.CreateUserTest","setup"
