"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка валидации при вводе отрицательных значений в поля формы","1987","Тест проверяет обработку отрицательных значений в полях формы","Team three PFLB Test","Wed Aug 20 06:35:53 UTC 2025","passed","Wed Aug 20 06:35:55 UTC 2025","tests.ui.CreateHouseTest","Chrome","tests.ui.CreateHouseTest","checkInvalidValue"
"Проверка корректного отображения страницы UsersReadAll: 1. Видимость элементов управления 2. Наличие данных в таблице 3. Работа сортировки по ID 4. Работа сортировки по имени","21364","Комплексная проверка страницы со списком всех пользователей","Team three PFLB Test","Wed Aug 20 07:03:31 UTC 2025","failed","Wed Aug 20 07:03:53 UTC 2025","tests.ui.UsersReadAllTest","Firefox","tests.ui.UsersReadAllTest","checkOpenUsersReadAll"
"Проверка создания нового авто","22042","Тест проверяет создание нового авто","Team three PFLB Test","Wed Aug 20 06:40:37 UTC 2025","failed","Wed Aug 20 06:40:59 UTC 2025","tests.ui.CarTest","Chrome","tests.ui.CarTest","createCar"
"Комплексная проверка: поиск пользователя по ID и верификация всех его данных в таблице (личные данные и информация об автомобиле)","11397","Проверка корректного отображения данных пользователя в таблице","Team three PFLB Test","Wed Aug 20 06:58:44 UTC 2025","failed","Wed Aug 20 06:58:55 UTC 2025","tests.ui.ReadUserWithCarsTest","Firefox","tests.ui.ReadUserWithCarsTest","checkUserInTable"
"Тест #[{index}]: user={0}, password={1}, ожидаемый alert={2}","569","checkLoginNegativeCases","Team three PFLB Test","Wed Aug 20 06:56:39 UTC 2025","passed","Wed Aug 20 06:56:39 UTC 2025","tests.ui.LoginTest","Firefox","tests.ui.LoginTest","checkLoginNegativeCases"
"Позитивный тест: проверка что после авторизации происходит успешный переход на страницу ReadUserWithCars по URL","11353","Проверка корректного перехода на страницу информации о пользователях с автомобилями","Team three PFLB Test","Wed Aug 20 07:00:52 UTC 2025","failed","Wed Aug 20 07:01:03 UTC 2025","tests.ui.ReadUserWithCarsTest","Firefox","tests.ui.ReadUserWithCarsTest","openedReadUserWithCarsPage"
"Негативный сценарий: попытка создания дома без заполнения обязательных полей","1961","Негативный тест: попытка создания дома без заполнения обязательных полей","Team three PFLB Test","Wed Aug 20 06:35:49 UTC 2025","passed","Wed Aug 20 06:35:51 UTC 2025","tests.ui.CreateHouseTest","Chrome","tests.ui.CreateHouseTest","checkEmptyRequiredFields"
"Тест #[{index}]: user={0}, password={1}, ожидаемый alert={2}","555","checkLoginNegativeCases","Team three PFLB Test","Wed Aug 20 06:56:33 UTC 2025","passed","Wed Aug 20 06:56:34 UTC 2025","tests.ui.LoginTest","Firefox","tests.ui.LoginTest","checkLoginNegativeCases"
"Проверка корректности работы поля для ввода идентификатора дома","3115","Тест проверяет функциональность поля ввода ID дома","Team three PFLB Test","Wed Aug 20 06:49:27 UTC 2025","passed","Wed Aug 20 06:49:30 UTC 2025","tests.ui.HousesReadByIdTest","Chrome","tests.ui.HousesReadByIdTest","checkInput"
"Позитивный тест: проверка что поле ввода корректно принимает и обрабатывает вводимые данные","11665","Проверка функциональности поля ввода на странице","Team three PFLB Test","Wed Aug 20 06:57:38 UTC 2025","failed","Wed Aug 20 06:57:50 UTC 2025","tests.ui.ReadUserWithCarsTest","Firefox","tests.ui.ReadUserWithCarsTest","checkInput"
"Негативный сценарий: проверка валидации нулевого возраста","2038","Система должна отклонять попытки создания пользователя с нулевым возрастом","Team three PFLB Test","Wed Aug 20 06:32:20 UTC 2025","passed","Wed Aug 20 06:32:22 UTC 2025","tests.ui.CreateUserTest","Chrome","tests.ui.CreateUserTest","checkZeroAgeValidation"
"Сортировка авто по id","1406","Сортировка авто по id","Team three PFLB Test","Wed Aug 20 06:39:19 UTC 2025","passed","Wed Aug 20 06:39:21 UTC 2025","tests.ui.CarTest","Chrome","tests.ui.CarTest","sortCars"
"Негативный сценарий: создание пользователя без указания пола","1673","Проверка обязательности выбора пола при создании пользователя","Team three PFLB Test","Wed Aug 20 06:34:03 UTC 2025","passed","Wed Aug 20 06:34:05 UTC 2025","tests.ui.CreateUserTest","Chrome","tests.ui.CreateUserTest","createUserWithoutSexSelection"
"Проверка boundary-значений для поля возраста пользователя","22112","Проверка граничных значений возраста (1 год и 123 года) при создании пользователя","Team three PFLB Test","Wed Aug 20 06:30:12 UTC 2025","failed","Wed Aug 20 06:30:34 UTC 2025","tests.ui.CreateUserTest","Chrome","tests.ui.CreateUserTest","checkMinimumAge"
"Позитивный тест авторизации: ввод валидного email и пароля, проверка сообщения об успешной авторизации","1045","Проверка успешной авторизации с корректными учетными данными","Team three PFLB Test","Wed Aug 20 06:56:44 UTC 2025","passed","Wed Aug 20 06:56:45 UTC 2025","tests.ui.LoginTest","Firefox","tests.ui.LoginTest","successfulLoginWithValidCredentials"
"Проверка обработки нулевого значения при пополнении баланса","11361","Система должна корректно обрабатывать попытку пополнения на нулевую сумму","Team three PFLB Test","Wed Aug 20 06:54:57 UTC 2025","failed","Wed Aug 20 06:55:09 UTC 2025","tests.ui.AddMoneyTest","Firefox","tests.ui.AddMoneyTest","checkZeroMoney"
"E2E тест создания и проверки пользователя: 1. Генерация случайного пользователя 2. Создание пользователя через UI 3. Проверка его отображения в таблице UsersReadAll","11385","Проверка отображения созданного пользователя в общем списке","Team three PFLB Test","Wed Aug 20 07:01:56 UTC 2025","failed","Wed Aug 20 07:02:07 UTC 2025","tests.ui.UsersReadAllTest","Firefox","tests.ui.UsersReadAllTest","checkNewUserInTable"
"Негативный сценарий: пополнение баланса отрицательным значением","11337","Система должна отклонять попытки пополнения баланса отрицательной суммой","Team three PFLB Test","Wed Aug 20 06:52:50 UTC 2025","failed","Wed Aug 20 06:53:01 UTC 2025","tests.ui.AddMoneyTest","Firefox","tests.ui.AddMoneyTest","checkNegativeMoney"
"Проверка корректности навигации к форме создания пользователя","1284","После успешной авторизации система должна корректно открывать форму создания нового пользователя","Team three PFLB Test","Wed Aug 20 06:34:07 UTC 2025","passed","Wed Aug 20 06:34:08 UTC 2025","tests.ui.CreateUserTest","Chrome","tests.ui.CreateUserTest","openedCreateNewPage"
"Проверка что на странице ReadUserWithCars присутствуют все необходимые элементы навигации и управления","11345","Проверка отображения всех элементов навигации на странице","Team three PFLB Test","Wed Aug 20 06:59:48 UTC 2025","failed","Wed Aug 20 06:59:59 UTC 2025","tests.ui.ReadUserWithCarsTest","Firefox","tests.ui.ReadUserWithCarsTest","checkUsersReadAllWithCarsNavBar"
"Проверка корректности навигации к форме пополнения баланса пользователя","11627","После успешной авторизации система должна корректно открывать форму пополнения баланса","Team three PFLB Test","Wed Aug 20 06:56:02 UTC 2025","failed","Wed Aug 20 06:56:13 UTC 2025","tests.ui.AddMoneyTest","Firefox","tests.ui.AddMoneyTest","openedAddMoneyPage"
"Тест #[{index}]: user={0}, password={1}, ожидаемый alert={2}","518","checkLoginNegativeCases","Team three PFLB Test","Wed Aug 20 06:56:23 UTC 2025","passed","Wed Aug 20 06:56:24 UTC 2025","tests.ui.LoginTest","Firefox","tests.ui.LoginTest","checkLoginNegativeCases"
"Проверка валидации при вводе значений, превышающих максимально допустимую длину","22170","Тест проверяет обработку значений, превышающих максимально допустимую длину","Team three PFLB Test","Wed Aug 20 06:37:12 UTC 2025","failed","Wed Aug 20 06:37:34 UTC 2025","tests.ui.CreateHouseTest","Chrome","tests.ui.CreateHouseTest","checkMoreThenMaximumValue"
"Проверка навигации к странице детальной информации о доме по его идентификатору","1286","Тест проверяет корректность открытия страницы просмотра дома по ID","Team three PFLB Test","Wed Aug 20 06:49:38 UTC 2025","passed","Wed Aug 20 06:49:39 UTC 2025","tests.ui.HousesReadByIdTest","Chrome","tests.ui.HousesReadByIdTest","openReadHouseById"
"Позитивный сценарий создания пользователя с полным набором валидных данных","21827","Система должна успешно создавать пользователя при заполнении всех обязательных полей валидными данными","Team three PFLB Test","Wed Aug 20 06:31:55 UTC 2025","failed","Wed Aug 20 06:32:17 UTC 2025","tests.ui.CreateUserTest","Chrome","tests.ui.CreateUserTest","checkValidUserCreation"
"Проверка boundary-значения для минимальной суммы пополнения","11375","Система должна корректно обрабатывать минимально допустимую сумму пополнения (0.01)","Team three PFLB Test","Wed Aug 20 06:50:42 UTC 2025","failed","Wed Aug 20 06:50:53 UTC 2025","tests.ui.AddMoneyTest","Firefox","tests.ui.AddMoneyTest","checkMinAndMaxMoney"
"Проверка обработки нестандартных символов в поле фамилии","21995","Проверка поддержки специальных символов и цифр в поле фамилии пользователя","Team three PFLB Test","Wed Aug 20 06:33:38 UTC 2025","failed","Wed Aug 20 06:34:00 UTC 2025","tests.ui.CreateUserTest","Chrome","tests.ui.CreateUserTest","createUserWithNonStandardLastName"
"Проверка навигации и доступности страницы HousesReadAll после авторизации","322","Тест проверяет корректность открытия страницы со списком всех домов","Team three PFLB Test","Wed Aug 20 06:49:08 UTC 2025","passed","Wed Aug 20 06:49:08 UTC 2025","tests.ui.HousesReadAllTest","Chrome","tests.ui.HousesReadAllTest","checkOpenHousesReadAllPage"
"Проверка работоспособности и отклика кнопки Reload на странице HousesReadAll","352","Тест проверяет функциональность кнопки перезагрузки данных на странице","Team three PFLB Test","Wed Aug 20 06:49:11 UTC 2025","passed","Wed Aug 20 06:49:11 UTC 2025","tests.ui.HousesReadAllTest","Chrome","tests.ui.HousesReadAllTest","checkReloadButton"
"Позитивный сценарий пополнения баланса пользователя","11367","Система должна успешно обрабатывать запрос на пополнение баланса при валидных данных","Team three PFLB Test","Wed Aug 20 06:53:54 UTC 2025","failed","Wed Aug 20 06:54:05 UTC 2025","tests.ui.AddMoneyTest","Firefox","tests.ui.AddMoneyTest","checkValidMoneyAddition"
"Проверка продажи авто","21778","Тест проверяет продажу авто","Team three PFLB Test","Wed Aug 20 06:47:07 UTC 2025","failed","Wed Aug 20 06:47:29 UTC 2025","tests.ui.CarTest","Chrome","tests.ui.CarTest","sellCar"
"Верификация заголовков и структуры таблицы на странице HousesReadAll","4330","Тест проверяет наличие и корректность отображения всех полей в таблице домов","Team three PFLB Test","Wed Aug 20 06:49:14 UTC 2025","passed","Wed Aug 20 06:49:18 UTC 2025","tests.ui.HousesReadAllTest","Chrome","tests.ui.HousesReadAllTest","checkTableTitle"
"Проверка корректного открытия страницы создания нового дома после авторизации","1207","Тест проверяет корректность открытия формы создания нового дома в системе","Team three PFLB Test","Wed Aug 20 06:39:15 UTC 2025","passed","Wed Aug 20 06:39:17 UTC 2025","tests.ui.CreateHouseTest","Chrome","tests.ui.CreateHouseTest","openedCreateNewPage"
"Проверка создания нового авто. Негативный","21893","Тест проверяет создание нового авто","Team three PFLB Test","Wed Aug 20 06:42:14 UTC 2025","failed","Wed Aug 20 06:42:36 UTC 2025","tests.ui.CarTest","Chrome","tests.ui.CarTest","createCarNegative"
"Проверка создания пользователя с предельно допустимым возрастом","22132","Система должна корректно обрабатывать максимально допустимый возраст пользователя (123 года)","Team three PFLB Test","Wed Aug 20 06:28:33 UTC 2025","failed","Wed Aug 20 06:28:56 UTC 2025","tests.ui.CreateUserTest","Chrome","tests.ui.CreateUserTest","checkMaxAgeLimitValidation"
"Проверка успешного создания дома при заполнении всех полей валидными данными","22069","Позитивный тест создания дома с заполнением всех полей валидными значениями","Team three PFLB Test","Wed Aug 20 06:38:51 UTC 2025","failed","Wed Aug 20 06:39:13 UTC 2025","tests.ui.CreateHouseTest","Chrome","tests.ui.CreateHouseTest","checkValidHouseCreation"
"Комплексная проверка отображения всех атрибутов дома при поиске по ID","3554","Тест проверяет корректность отображения данных о доме в таблице","Team three PFLB Test","Wed Aug 20 06:49:21 UTC 2025","passed","Wed Aug 20 06:49:24 UTC 2025","tests.ui.HousesReadByIdTest","Chrome","tests.ui.HousesReadByIdTest","checkHouse"
"Негативный сценарий: проверка валидации отрицательного возраста","2045","Система должна блокировать создание пользователей с отрицательным возрастом","Team three PFLB Test","Wed Aug 20 06:30:37 UTC 2025","passed","Wed Aug 20 06:30:39 UTC 2025","tests.ui.CreateUserTest","Chrome","tests.ui.CreateUserTest","checkNegativeAgeValidation"
"Проверка покупки авто. Негативный","21937","Тест проверяет покупку авто. Негативный","Team three PFLB Test","Wed Aug 20 06:45:29 UTC 2025","failed","Wed Aug 20 06:45:51 UTC 2025","tests.ui.CarTest","Chrome","tests.ui.CarTest","buyCarNegative"
"Тест #[{index}]: user={0}, password={1}, ожидаемый alert={2}","542","checkLoginNegativeCases","Team three PFLB Test","Wed Aug 20 06:56:28 UTC 2025","passed","Wed Aug 20 06:56:29 UTC 2025","tests.ui.LoginTest","Firefox","tests.ui.LoginTest","checkLoginNegativeCases"
"Проверка продажи авто. Негативный","21895","Тест проверяет продажу авто. Негативный","Team three PFLB Test","Wed Aug 20 06:48:44 UTC 2025","failed","Wed Aug 20 06:49:06 UTC 2025","tests.ui.CarTest","Chrome","tests.ui.CarTest","sellCarNegative"
"Негативный сценарий: пополнение баланса текстовым значением","11361","Система должна отклонять нечисловые значения в поле суммы","Team three PFLB Test","Wed Aug 20 06:51:46 UTC 2025","failed","Wed Aug 20 06:51:57 UTC 2025","tests.ui.AddMoneyTest","Firefox","tests.ui.AddMoneyTest","checkMoneyWithText"
"Проверка покупки авто","21822","Тест проверяет покупку авто","Team three PFLB Test","Wed Aug 20 06:43:52 UTC 2025","failed","Wed Aug 20 06:44:14 UTC 2025","tests.ui.CarTest","Chrome","tests.ui.CarTest","buyCar"
"Проверка создания дома при заполнении только обязательных полей (floors и price)","21817","Тест проверяет создание дома при заполнении только обязательных полей","Team three PFLB Test","Wed Aug 20 06:35:24 UTC 2025","failed","Wed Aug 20 06:35:46 UTC 2025","tests.ui.CreateHouseTest","Chrome","tests.ui.CreateHouseTest","checkEmptyOptionalFields"
"Негативный сценарий: создание пользователя без указания имени","2667","Система должна отклонять попытку создания пользователя с пустым именем","Team three PFLB Test","Wed Aug 20 06:27:14 UTC 2025","passed","Wed Aug 20 06:27:17 UTC 2025","tests.ui.CreateUserTest","Chrome","tests.ui.CreateUserTest","checkEmptyFirstName"
"Тест #[{index}]: user={0}, password={1}, ожидаемый alert={2}","444","checkLoginNegativeCases","Team three PFLB Test","Wed Aug 20 06:56:18 UTC 2025","passed","Wed Aug 20 06:56:18 UTC 2025","tests.ui.LoginTest","Firefox","tests.ui.LoginTest","checkLoginNegativeCases"
"Верификация корректности отображения элементов управления на странице HousesReadById","3062","Тест проверяет наличие всех необходимых UI-элементов на странице","Team three PFLB Test","Wed Aug 20 06:49:32 UTC 2025","passed","Wed Aug 20 06:49:35 UTC 2025","tests.ui.HousesReadByIdTest","Chrome","tests.ui.HousesReadByIdTest","checkUsersReadAllWithCarsNavBar"
