"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Позитивный сценарий пополнения баланса пользователя","11664","Система должна успешно обрабатывать запрос на пополнение баланса при валидных данных","Team three PFLB Test","Wed Aug 20 09:17:09 UTC 2025","passed","Wed Aug 20 09:17:21 UTC 2025","tests.ui.AddMoneyTest","Firefox","tests.ui.AddMoneyTest","checkValidMoneyAddition"
"Позитивный сценарий создания пользователя с полным набором валидных данных","11810","Система должна успешно создавать пользователя при заполнении всех обязательных полей валидными данными","Team three PFLB Test","Wed Aug 20 09:10:45 UTC 2025","passed","Wed Aug 20 09:10:57 UTC 2025","tests.ui.CreateUserTest","Chrome","tests.ui.CreateUserTest","checkValidUserCreation"
"Проверка успешного перехода на страницу управления проживанием пользователей после авторизации","5773","Проверка корректного отображения страницы управления заселением/выселением","Team three PFLB Test","Wed Aug 20 09:15:47 UTC 2025","passed","Wed Aug 20 09:15:52 UTC 2025","tests.ui.SettleOrEvictUserTest","Chrome","tests.ui.SettleOrEvictUserTest","openedSettleOrEvictUserPage"
"Проверка навигации и доступности страницы HousesReadAll после авторизации","347","Тест проверяет корректность открытия страницы со списком всех домов","Team three PFLB Test","Wed Aug 20 09:14:05 UTC 2025","passed","Wed Aug 20 09:14:06 UTC 2025","tests.ui.HousesReadAllTest","Chrome","tests.ui.HousesReadAllTest","checkOpenHousesReadAllPage"
"Тест #[{index}]: user={0}, password={1}, ожидаемый alert={2}","545","checkLoginNegativeCases","Team three PFLB Test","Wed Aug 20 09:18:14 UTC 2025","passed","Wed Aug 20 09:18:14 UTC 2025","tests.ui.LoginTest","Firefox","tests.ui.LoginTest","checkLoginNegativeCases"
"Комплексная проверка: поиск пользователя по ID и верификация всех его данных в таблице (личные данные и информация об автомобиле)","6643","Проверка корректного отображения данных пользователя в таблице","Team three PFLB Test","Wed Aug 20 09:19:04 UTC 2025","passed","Wed Aug 20 09:19:10 UTC 2025","tests.ui.ReadUserWithCarsTest","Firefox","tests.ui.ReadUserWithCarsTest","checkUserInTable"
"Проверка обработки нулевого значения при пополнении баланса","11260","Система должна корректно обрабатывать попытку пополнения на нулевую сумму","Team three PFLB Test","Wed Aug 20 09:17:26 UTC 2025","passed","Wed Aug 20 09:17:37 UTC 2025","tests.ui.AddMoneyTest","Firefox","tests.ui.AddMoneyTest","checkZeroMoney"
"Проверка корректного открытия страницы создания нового дома после авторизации","5799","Тест проверяет корректность открытия формы создания нового дома в системе","Team three PFLB Test","Wed Aug 20 09:12:38 UTC 2025","passed","Wed Aug 20 09:12:43 UTC 2025","tests.ui.CreateHouseTest","Chrome","tests.ui.CreateHouseTest","openedCreateNewPage"
"Позитивный тест: проверка что поле ввода корректно принимает и обрабатывает вводимые данные","6718","Проверка функциональности поля ввода на странице","Team three PFLB Test","Wed Aug 20 09:18:31 UTC 2025","passed","Wed Aug 20 09:18:37 UTC 2025","tests.ui.ReadUserWithCarsTest","Firefox","tests.ui.ReadUserWithCarsTest","checkInput"
"Сортировка авто по id","5996","Сортировка авто по id","Team three PFLB Test","Wed Aug 20 09:12:45 UTC 2025","passed","Wed Aug 20 09:12:51 UTC 2025","tests.ui.CarTest","Chrome","tests.ui.CarTest","sortCars"
"Негативный сценарий: создание пользователя без указания пола","11305","Проверка обязательности выбора пола при создании пользователя","Team three PFLB Test","Wed Aug 20 09:11:26 UTC 2025","passed","Wed Aug 20 09:11:37 UTC 2025","tests.ui.CreateUserTest","Chrome","tests.ui.CreateUserTest","createUserWithoutSexSelection"
"Негативный сценарий: пополнение баланса текстовым значением","11342","Система должна отклонять нечисловые значения в поле суммы","Team three PFLB Test","Wed Aug 20 09:16:37 UTC 2025","passed","Wed Aug 20 09:16:48 UTC 2025","tests.ui.AddMoneyTest","Firefox","tests.ui.AddMoneyTest","checkMoneyWithText"
"Проверка покупки авто","11621","Тест проверяет покупку авто","Team three PFLB Test","Wed Aug 20 09:13:12 UTC 2025","passed","Wed Aug 20 09:13:23 UTC 2025","tests.ui.CarTest","Chrome","tests.ui.CarTest","buyCar"
"Проверка обработки нестандартных символов в поле фамилии","11791","Проверка поддержки специальных символов и цифр в поле фамилии пользователя","Team three PFLB Test","Wed Aug 20 09:11:12 UTC 2025","passed","Wed Aug 20 09:11:24 UTC 2025","tests.ui.CreateUserTest","Chrome","tests.ui.CreateUserTest","createUserWithNonStandardLastName"
"Проверка создания пользователя с предельно допустимым возрастом","11842","Система должна корректно обрабатывать максимально допустимый возраст пользователя (123 года)","Team three PFLB Test","Wed Aug 20 09:09:54 UTC 2025","passed","Wed Aug 20 09:10:06 UTC 2025","tests.ui.CreateUserTest","Chrome","tests.ui.CreateUserTest","checkMaxAgeLimitValidation"
"Проверка создания нового авто. Негативный","6736","Тест проверяет создание нового авто","Team three PFLB Test","Wed Aug 20 09:13:03 UTC 2025","passed","Wed Aug 20 09:13:10 UTC 2025","tests.ui.CarTest","Chrome","tests.ui.CarTest","createCarNegative"
"Проверка что на странице ReadUserWithCars присутствуют все необходимые элементы навигации и управления","6188","Проверка отображения всех элементов навигации на странице","Team three PFLB Test","Wed Aug 20 09:19:15 UTC 2025","passed","Wed Aug 20 09:19:21 UTC 2025","tests.ui.ReadUserWithCarsTest","Firefox","tests.ui.ReadUserWithCarsTest","checkUsersReadAllWithCarsNavBar"
"Комплексная проверка отображения всех атрибутов дома при поиске по ID","9527","Тест проверяет корректность отображения данных о доме в таблице","Team three PFLB Test","Wed Aug 20 09:14:47 UTC 2025","passed","Wed Aug 20 09:14:57 UTC 2025","tests.ui.HousesReadByIdTest","Chrome","tests.ui.HousesReadByIdTest","checkHouse"
"Проверка корректности работы поля для ввода идентификатора дома","8215","Тест проверяет функциональность поля ввода ID дома","Team three PFLB Test","Wed Aug 20 09:15:00 UTC 2025","passed","Wed Aug 20 09:15:08 UTC 2025","tests.ui.HousesReadByIdTest","Chrome","tests.ui.HousesReadByIdTest","checkInput"
"Негативный сценарий: создание пользователя без указания имени","12080","Система должна отклонять попытку создания пользователя с пустым именем","Team three PFLB Test","Wed Aug 20 09:09:40 UTC 2025","passed","Wed Aug 20 09:09:52 UTC 2025","tests.ui.CreateUserTest","Chrome","tests.ui.CreateUserTest","checkEmptyFirstName"
"Проверка создания нового авто","6729","Тест проверяет создание нового авто","Team three PFLB Test","Wed Aug 20 09:12:55 UTC 2025","passed","Wed Aug 20 09:13:01 UTC 2025","tests.ui.CarTest","Chrome","tests.ui.CarTest","createCar"
"Проверка boundary-значения для минимальной суммы пополнения","12025","Система должна корректно обрабатывать минимально допустимую сумму пополнения (0.01)","Team three PFLB Test","Wed Aug 20 09:16:20 UTC 2025","passed","Wed Aug 20 09:16:32 UTC 2025","tests.ui.AddMoneyTest","Firefox","tests.ui.AddMoneyTest","checkMinAndMaxMoney"
"Проверка продажи авто. Негативный","11600","Тест проверяет продажу авто. Негативный","Team three PFLB Test","Wed Aug 20 09:13:52 UTC 2025","passed","Wed Aug 20 09:14:04 UTC 2025","tests.ui.CarTest","Chrome","tests.ui.CarTest","sellCarNegative"
"Негативный сценарий: проверка валидации нулевого возраста","11365","Система должна отклонять попытки создания пользователя с нулевым возрастом","Team three PFLB Test","Wed Aug 20 09:10:59 UTC 2025","passed","Wed Aug 20 09:11:10 UTC 2025","tests.ui.CreateUserTest","Chrome","tests.ui.CreateUserTest","checkZeroAgeValidation"
"Проверка валидации при вводе значений, превышающих максимально допустимую длину","6812","Тест проверяет обработку значений, превышающих максимально допустимую длину","Team three PFLB Test","Wed Aug 20 09:12:20 UTC 2025","passed","Wed Aug 20 09:12:27 UTC 2025","tests.ui.CreateHouseTest","Chrome","tests.ui.CreateHouseTest","checkMoreThenMaximumValue"
