"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Тест #[{index}]: user={0}, password={1}, ожидаемый alert={2}","581","checkLoginNegativeCases","Team three PFLB Test","Tue Aug 19 11:05:52 UTC 2025","passed","Tue Aug 19 11:05:53 UTC 2025","tests.ui.LoginTest","Firefox","tests.ui.LoginTest","checkLoginNegativeCases"
"Негативный сценарий: пополнение баланса отрицательным значением","1480","Система должна отклонять попытки пополнения баланса отрицательной суммой","Team three PFLB Test","Tue Aug 19 11:07:27 UTC 2025","passed","Tue Aug 19 11:07:29 UTC 2025","tests.ui.AddMoneyTest","Chrome","tests.ui.AddMoneyTest","checkNegativeMoney"
"Тест #[{index}]: user={0}, password={1}, ожидаемый alert={2}","560","checkLoginNegativeCases","Team three PFLB Test","Tue Aug 19 11:05:38 UTC 2025","passed","Tue Aug 19 11:05:38 UTC 2025","tests.ui.LoginTest","Firefox","tests.ui.LoginTest","checkLoginNegativeCases"
"Проверка boundary-значений для поля возраста пользователя","21417","Проверка граничных значений возраста (1 год и 123 года) при создании пользователя","Team three PFLB Test","Tue Aug 19 11:08:11 UTC 2025","failed","Tue Aug 19 11:08:33 UTC 2025","tests.ui.CreateUserTest","Firefox","tests.ui.CreateUserTest","checkMinimumAge"
"Позитивный тест авторизации: ввод валидного email и пароля, проверка сообщения об успешной авторизации","1095","Проверка успешной авторизации с корректными учетными данными","Team three PFLB Test","Tue Aug 19 11:05:57 UTC 2025","passed","Tue Aug 19 11:05:58 UTC 2025","tests.ui.LoginTest","Firefox","tests.ui.LoginTest","successfulLoginWithValidCredentials"
"Негативный сценарий: проверка валидации отрицательного возраста","21410","Система должна блокировать создание пользователей с отрицательным возрастом","Team three PFLB Test","Tue Aug 19 11:09:03 UTC 2025","failed","Tue Aug 19 11:09:24 UTC 2025","tests.ui.CreateUserTest","Firefox","tests.ui.CreateUserTest","checkNegativeAgeValidation"
"Проверка корректности навигации к форме пополнения баланса пользователя","1019","После успешной авторизации система должна корректно открывать форму пополнения баланса","Team three PFLB Test","Tue Aug 19 11:08:21 UTC 2025","passed","Tue Aug 19 11:08:23 UTC 2025","tests.ui.AddMoneyTest","Chrome","tests.ui.AddMoneyTest","openedAddMoneyPage"
"Проверка корректности навигации к форме создания пользователя","21402","После успешной авторизации система должна корректно открывать форму создания нового пользователя","Team three PFLB Test","Tue Aug 19 11:13:20 UTC 2025","failed","Tue Aug 19 11:13:41 UTC 2025","tests.ui.CreateUserTest","Firefox","tests.ui.CreateUserTest","openedCreateNewPage"
"Позитивный тест: проверка что после авторизации происходит успешный переход на страницу ReadUserWithCars по URL","1039","Проверка корректного перехода на страницу информации о пользователях с автомобилями","Team three PFLB Test","Tue Aug 19 11:06:34 UTC 2025","passed","Tue Aug 19 11:06:35 UTC 2025","tests.ui.ReadUserWithCarsTest","Chrome","tests.ui.ReadUserWithCarsTest","openedReadUserWithCarsPage"
"Проверка обработки нулевого значения при пополнении баланса","1486","Система должна корректно обрабатывать попытку пополнения на нулевую сумму","Team three PFLB Test","Tue Aug 19 11:08:18 UTC 2025","passed","Tue Aug 19 11:08:20 UTC 2025","tests.ui.AddMoneyTest","Chrome","tests.ui.AddMoneyTest","checkZeroMoney"
