"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка обработки нулевого значения при пополнении баланса","1526","Система должна корректно обрабатывать попытку пополнения на нулевую сумму","Team three PFLB Test","Tue Aug 19 17:26:08 UTC 2025","passed","Tue Aug 19 17:26:09 UTC 2025","tests.ui.AddMoneyTest","Chrome","tests.ui.AddMoneyTest","checkZeroMoney"
"Негативный сценарий: создание пользователя без указания имени","21420","Система должна отклонять попытку создания пользователя с пустым именем","Team three PFLB Test","Tue Aug 19 17:37:48 UTC 2025","failed","Tue Aug 19 17:38:09 UTC 2025","tests.ui.CreateUserTest","Firefox","tests.ui.CreateUserTest","checkEmptyFirstName"
"Сортировка авто по id","1138","Сортировка авто по id","Team three PFLB Test","Tue Aug 19 17:26:14 UTC 2025","passed","Tue Aug 19 17:26:15 UTC 2025","tests.ui.CarTest","Chrome","tests.ui.CarTest","sortCars"
"Проверка корректности навигации к форме создания пользователя","21428","После успешной авторизации система должна корректно открывать форму создания нового пользователя","Team three PFLB Test","Tue Aug 19 17:51:24 UTC 2025","failed","Tue Aug 19 17:51:46 UTC 2025","tests.ui.CreateUserTest","Firefox","tests.ui.CreateUserTest","openedCreateNewPage"
"Проверка корректности навигации к форме пополнения баланса пользователя","1005","После успешной авторизации система должна корректно открывать форму пополнения баланса","Team three PFLB Test","Tue Aug 19 17:26:11 UTC 2025","passed","Tue Aug 19 17:26:12 UTC 2025","tests.ui.AddMoneyTest","Chrome","tests.ui.AddMoneyTest","openedAddMoneyPage"
"Тест #[{index}]: user={0}, password={1}, ожидаемый alert={2}","625","checkLoginNegativeCases","Team three PFLB Test","Tue Aug 19 17:36:07 UTC 2025","passed","Tue Aug 19 17:36:07 UTC 2025","tests.ui.LoginTest","Firefox","tests.ui.LoginTest","checkLoginNegativeCases"
"Проверка продажи авто. Негативный","21709","Тест проверяет продажу авто. Негативный","Team three PFLB Test","Tue Aug 19 17:35:19 UTC 2025","failed","Tue Aug 19 17:35:41 UTC 2025","tests.ui.CarTest","Chrome","tests.ui.CarTest","sellCarNegative"
"Тест #[{index}]: user={0}, password={1}, ожидаемый alert={2}","665","checkLoginNegativeCases","Team three PFLB Test","Tue Aug 19 17:36:12 UTC 2025","passed","Tue Aug 19 17:36:12 UTC 2025","tests.ui.LoginTest","Firefox","tests.ui.LoginTest","checkLoginNegativeCases"
"Тест #[{index}]: user={0}, password={1}, ожидаемый alert={2}","628","checkLoginNegativeCases","Team three PFLB Test","Tue Aug 19 17:36:02 UTC 2025","passed","Tue Aug 19 17:36:02 UTC 2025","tests.ui.LoginTest","Firefox","tests.ui.LoginTest","checkLoginNegativeCases"
"Негативный сценарий: проверка валидации нулевого возраста","21470","Система должна отклонять попытки создания пользователя с нулевым возрастом","Team three PFLB Test","Tue Aug 19 17:46:18 UTC 2025","failed","Tue Aug 19 17:46:40 UTC 2025","tests.ui.CreateUserTest","Firefox","tests.ui.CreateUserTest","checkZeroAgeValidation"
"Проверка boundary-значений для поля возраста пользователя","21488","Проверка граничных значений возраста (1 год и 123 года) при создании пользователя","Team three PFLB Test","Tue Aug 19 17:41:12 UTC 2025","failed","Tue Aug 19 17:41:34 UTC 2025","tests.ui.CreateUserTest","Firefox","tests.ui.CreateUserTest","checkMinimumAge"
"Проверка создания нового авто. Негативный","21813","Тест проверяет создание нового авто","Team three PFLB Test","Tue Aug 19 17:29:02 UTC 2025","failed","Tue Aug 19 17:29:24 UTC 2025","tests.ui.CarTest","Chrome","tests.ui.CarTest","createCarNegative"
"E2E тест создания и проверки пользователя: 1. Генерация случайного пользователя 2. Создание пользователя через UI 3. Проверка его отображения в таблице UsersReadAll","21432","Проверка отображения созданного пользователя в общем списке","Team three PFLB Test","Tue Aug 19 17:53:07 UTC 2025","failed","Tue Aug 19 17:53:28 UTC 2025","tests.ui.UsersReadAllTest","Firefox","tests.ui.UsersReadAllTest","checkNewUserInTable"
