"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","setup","Team three PFLB Test","Mon Aug 18 16:56:10 UTC 2025","broken","Mon Aug 18 16:56:10 UTC 2025","tests.CarTest","Chrome","tests.CarTest","setup"
"Проверка boundary-значения для минимальной суммы пополнения","1","Система должна корректно обрабатывать минимально допустимую сумму пополнения (0.01)","Team three PFLB Test","Mon Aug 18 16:56:10 UTC 2025","skipped","Mon Aug 18 16:56:10 UTC 2025","tests.AddMoneyTest","Chrome","tests.AddMoneyTest","checkMinAndMaxMoney"
"Негативный сценарий: пополнение баланса текстовым значением","0","Система должна отклонять нечисловые значения в поле суммы","Team three PFLB Test","Mon Aug 18 16:56:10 UTC 2025","skipped","Mon Aug 18 16:56:10 UTC 2025","tests.AddMoneyTest","Chrome","tests.AddMoneyTest","checkMoneyWithText"
"Тест #[{index}]: user={0}, password={1}, ожидаемый alert={2}","1","checkLoginNegativeCases","Team three PFLB Test","Mon Aug 18 16:56:05 UTC 2025","skipped","Mon Aug 18 16:56:05 UTC 2025","tests.LoginTest","Firefox","tests.LoginTest","checkLoginNegativeCases"
"Тест #[{index}]: user={0}, password={1}, ожидаемый alert={2}","0","checkLoginNegativeCases","Team three PFLB Test","Mon Aug 18 16:56:05 UTC 2025","skipped","Mon Aug 18 16:56:05 UTC 2025","tests.LoginTest","Firefox","tests.LoginTest","checkLoginNegativeCases"
"Проверка что на странице ReadUserWithCars присутствуют все необходимые элементы навигации и управления","0","Проверка отображения всех элементов навигации на странице","Team three PFLB Test","Mon Aug 18 16:56:05 UTC 2025","skipped","Mon Aug 18 16:56:05 UTC 2025","tests.ReadUserWithCarsTest","Chrome","tests.ReadUserWithCarsTest","checkUsersReadAllWithCarsNavBar"
"Позитивный тест авторизации: ввод валидного email и пароля, проверка сообщения об успешной авторизации","0","Проверка успешной авторизации с корректными учетными данными","Team three PFLB Test","Mon Aug 18 16:56:05 UTC 2025","skipped","Mon Aug 18 16:56:05 UTC 2025","tests.LoginTest","Firefox","tests.LoginTest","successfulLoginWithValidCredentials"
"Проверка обработки нулевого значения при пополнении баланса","1","Система должна корректно обрабатывать попытку пополнения на нулевую сумму","Team three PFLB Test","Mon Aug 18 16:56:10 UTC 2025","skipped","Mon Aug 18 16:56:10 UTC 2025","tests.AddMoneyTest","Chrome","tests.AddMoneyTest","checkZeroMoney"
"","1","setup","Team three PFLB Test","Mon Aug 18 16:56:05 UTC 2025","broken","Mon Aug 18 16:56:05 UTC 2025","tests.LoginTest","Firefox","tests.LoginTest","setup"
"Проверка покупки авто. Негативный","0","Тест проверяет покупку авто. Негативный","Team three PFLB Test","Mon Aug 18 16:56:10 UTC 2025","skipped","Mon Aug 18 16:56:10 UTC 2025","tests.CarTest","Chrome","tests.CarTest","buyCarNegative"
