"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Негативный сценарий: пополнение баланса текстовым значением","1637","Система должна отклонять нечисловые значения в поле суммы","Team three PFLB Test","Tue Aug 19 16:48:36 UTC 2025","passed","Tue Aug 19 16:48:38 UTC 2025","tests.ui.AddMoneyTest","Chrome","tests.ui.AddMoneyTest","checkMoneyWithText"
"Проверка покупки авто","21776","Тест проверяет покупку авто","Team three PFLB Test","Tue Aug 19 16:53:26 UTC 2025","failed","Tue Aug 19 16:53:48 UTC 2025","tests.ui.CarTest","Chrome","tests.ui.CarTest","buyCar"
"Негативный сценарий: создание пользователя без указания пола","2066","Проверка обязательности выбора пола при создании пользователя","Team three PFLB Test","Tue Aug 19 17:02:59 UTC 2025","passed","Tue Aug 19 17:03:01 UTC 2025","tests.ui.CreateUserTest","Chrome","tests.ui.CreateUserTest","createUserWithoutSexSelection"
"Проверка корректности навигации к форме создания пользователя","1303","После успешной авторизации система должна корректно открывать форму создания нового пользователя","Team three PFLB Test","Tue Aug 19 17:03:04 UTC 2025","passed","Tue Aug 19 17:03:05 UTC 2025","tests.ui.CreateUserTest","Chrome","tests.ui.CreateUserTest","openedCreateNewPage"
"Позитивный тест авторизации: ввод валидного email и пароля, проверка сообщения об успешной авторизации","963","Проверка успешной авторизации с корректными учетными данными","Team three PFLB Test","Tue Aug 19 16:57:46 UTC 2025","passed","Tue Aug 19 16:57:47 UTC 2025","tests.ui.LoginTest","Chrome","tests.ui.LoginTest","successfulLoginWithValidCredentials"
"Проверка корректного отображения страницы UsersReadAll: 1. Видимость элементов управления 2. Наличие данных в таблице 3. Работа сортировки по ID 4. Работа сортировки по имени","6290","Комплексная проверка страницы со списком всех пользователей","Team three PFLB Test","Tue Aug 19 17:03:24 UTC 2025","passed","Tue Aug 19 17:03:30 UTC 2025","tests.ui.UsersReadAllTest","Chrome","tests.ui.UsersReadAllTest","checkOpenUsersReadAll"
"Позитивный сценарий создания пользователя с полным набором валидных данных","22320","Система должна успешно создавать пользователя при заполнении всех обязательных полей валидными данными","Team three PFLB Test","Tue Aug 19 17:01:15 UTC 2025","failed","Tue Aug 19 17:01:38 UTC 2025","tests.ui.CreateUserTest","Chrome","tests.ui.CreateUserTest","checkValidUserCreation"
"Тест #[{index}]: user={0}, password={1}, ожидаемый alert={2}","295","checkLoginNegativeCases","Team three PFLB Test","Tue Aug 19 16:57:31 UTC 2025","passed","Tue Aug 19 16:57:32 UTC 2025","tests.ui.LoginTest","Chrome","tests.ui.LoginTest","checkLoginNegativeCases"
"E2E тест создания и проверки пользователя: 1. Генерация случайного пользователя 2. Создание пользователя через UI 3. Проверка его отображения в таблице UsersReadAll","13364","Проверка отображения созданного пользователя в общем списке","Team three PFLB Test","Tue Aug 19 17:03:08 UTC 2025","passed","Tue Aug 19 17:03:21 UTC 2025","tests.ui.UsersReadAllTest","Chrome","tests.ui.UsersReadAllTest","checkNewUserInTable"
"Проверка boundary-значений для поля возраста пользователя","21926","Проверка граничных значений возраста (1 год и 123 года) при создании пользователя","Team three PFLB Test","Tue Aug 19 16:59:57 UTC 2025","failed","Tue Aug 19 17:00:18 UTC 2025","tests.ui.CreateUserTest","Chrome","tests.ui.CreateUserTest","checkMinimumAge"
"Негативный сценарий: проверка валидации отрицательного возраста","2086","Система должна блокировать создание пользователей с отрицательным возрастом","Team three PFLB Test","Tue Aug 19 17:00:21 UTC 2025","passed","Tue Aug 19 17:00:23 UTC 2025","tests.ui.CreateUserTest","Chrome","tests.ui.CreateUserTest","checkNegativeAgeValidation"
