"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Тест #[{index}]: user={0}, password={1}, ожидаемый alert={2}","649","checkLoginNegativeCases","Team three PFLB Test","Mon Aug 18 17:13:34 UTC 2025","passed","Mon Aug 18 17:13:35 UTC 2025","tests.LoginTest","Firefox","tests.LoginTest","checkLoginNegativeCases"
"Сортировка авто по id","1101","Сортировка авто по id","Team three PFLB Test","Mon Aug 18 17:15:31 UTC 2025","passed","Mon Aug 18 17:15:32 UTC 2025","tests.CarTest","Chrome","tests.CarTest","sortCars"
"Проверка создания нового авто","21865","Тест проверяет создание нового авто","Team three PFLB Test","Mon Aug 18 17:15:58 UTC 2025","failed","Mon Aug 18 17:16:20 UTC 2025","tests.CarTest","Chrome","tests.CarTest","createCar"
"Позитивный тест: проверка что поле ввода корректно принимает и обрабатывает вводимые данные","2040","Проверка функциональности поля ввода на странице","Team three PFLB Test","Mon Aug 18 17:13:31 UTC 2025","passed","Mon Aug 18 17:13:33 UTC 2025","tests.ReadUserWithCarsTest","Chrome","tests.ReadUserWithCarsTest","checkInput"
"Негативный сценарий: пополнение баланса текстовым значением","1489","Система должна отклонять нечисловые значения в поле суммы","Team three PFLB Test","Mon Aug 18 17:14:32 UTC 2025","passed","Mon Aug 18 17:14:34 UTC 2025","tests.AddMoneyTest","Chrome","tests.AddMoneyTest","checkMoneyWithText"
"Проверка создания нового авто. Негативный","21744","Тест проверяет создание нового авто","Team three PFLB Test","Mon Aug 18 17:16:45 UTC 2025","failed","Mon Aug 18 17:17:07 UTC 2025","tests.CarTest","Chrome","tests.CarTest","createCarNegative"
"Тест #[{index}]: user={0}, password={1}, ожидаемый alert={2}","606","checkLoginNegativeCases","Team three PFLB Test","Mon Aug 18 17:13:25 UTC 2025","passed","Mon Aug 18 17:13:25 UTC 2025","tests.LoginTest","Firefox","tests.LoginTest","checkLoginNegativeCases"
"Тест #[{index}]: user={0}, password={1}, ожидаемый alert={2}","523","checkLoginNegativeCases","Team three PFLB Test","Mon Aug 18 17:13:20 UTC 2025","passed","Mon Aug 18 17:13:21 UTC 2025","tests.LoginTest","Firefox","tests.LoginTest","checkLoginNegativeCases"
"Проверка корректности навигации к форме пополнения баланса пользователя","990","После успешной авторизации система должна корректно открывать форму пополнения баланса","Team three PFLB Test","Mon Aug 18 17:15:29 UTC 2025","passed","Mon Aug 18 17:15:30 UTC 2025","tests.AddMoneyTest","Chrome","tests.AddMoneyTest","openedAddMoneyPage"
"Проверка что на странице ReadUserWithCars присутствуют все необходимые элементы навигации и управления","1168","Проверка отображения всех элементов навигации на странице","Team three PFLB Test","Mon Aug 18 17:13:39 UTC 2025","passed","Mon Aug 18 17:13:40 UTC 2025","tests.ReadUserWithCarsTest","Chrome","tests.ReadUserWithCarsTest","checkUsersReadAllWithCarsNavBar"
