"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Позитивный тест: проверка что после авторизации происходит успешный переход на страницу ReadUserWithCars по URL","1303","Проверка корректного перехода на страницу информации о пользователях с автомобилями","Team three PFLB Test","Tue Aug 19 11:34:15 UTC 2025","passed","Tue Aug 19 11:34:16 UTC 2025","tests.ui.ReadUserWithCarsTest","Chrome","tests.ui.ReadUserWithCarsTest","openedReadUserWithCarsPage"
"Позитивный тест авторизации: ввод валидного email и пароля, проверка сообщения об успешной авторизации","1441","Проверка успешной авторизации с корректными учетными данными","Team three PFLB Test","Tue Aug 19 11:33:40 UTC 2025","passed","Tue Aug 19 11:33:41 UTC 2025","tests.ui.LoginTest","Firefox","tests.ui.LoginTest","successfulLoginWithValidCredentials"
"Тест #[{index}]: user={0}, password={1}, ожидаемый alert={2}","648","checkLoginNegativeCases","Team three PFLB Test","Tue Aug 19 11:33:23 UTC 2025","passed","Tue Aug 19 11:33:24 UTC 2025","tests.ui.LoginTest","Firefox","tests.ui.LoginTest","checkLoginNegativeCases"
"Тест #[{index}]: user={0}, password={1}, ожидаемый alert={2}","560","checkLoginNegativeCases","Team three PFLB Test","Tue Aug 19 11:33:18 UTC 2025","passed","Tue Aug 19 11:33:18 UTC 2025","tests.ui.LoginTest","Firefox","tests.ui.LoginTest","checkLoginNegativeCases"
"Тест #[{index}]: user={0}, password={1}, ожидаемый alert={2}","1065","checkLoginNegativeCases","Team three PFLB Test","Tue Aug 19 11:33:12 UTC 2025","passed","Tue Aug 19 11:33:13 UTC 2025","tests.ui.LoginTest","Firefox","tests.ui.LoginTest","checkLoginNegativeCases"
"Комплексная проверка: поиск пользователя по ID и верификация всех его данных в таблице (личные данные и информация об автомобиле)","11725","Проверка корректного отображения данных пользователя в таблице","Team three PFLB Test","Tue Aug 19 11:33:57 UTC 2025","failed","Tue Aug 19 11:34:09 UTC 2025","tests.ui.ReadUserWithCarsTest","Chrome","tests.ui.ReadUserWithCarsTest","checkUserInTable"
"Тест #[{index}]: user={0}, password={1}, ожидаемый alert={2}","690","checkLoginNegativeCases","Team three PFLB Test","Tue Aug 19 11:33:29 UTC 2025","passed","Tue Aug 19 11:33:29 UTC 2025","tests.ui.LoginTest","Firefox","tests.ui.LoginTest","checkLoginNegativeCases"
"Проверка что на странице ReadUserWithCars присутствуют все необходимые элементы навигации и управления","1358","Проверка отображения всех элементов навигации на странице","Team three PFLB Test","Tue Aug 19 11:34:11 UTC 2025","passed","Tue Aug 19 11:34:12 UTC 2025","tests.ui.ReadUserWithCarsTest","Chrome","tests.ui.ReadUserWithCarsTest","checkUsersReadAllWithCarsNavBar"
"Позитивный тест: проверка что поле ввода корректно принимает и обрабатывает вводимые данные","12261","Проверка функциональности поля ввода на странице","Team three PFLB Test","Tue Aug 19 11:33:28 UTC 2025","failed","Tue Aug 19 11:33:40 UTC 2025","tests.ui.ReadUserWithCarsTest","Chrome","tests.ui.ReadUserWithCarsTest","checkInput"
"Тест #[{index}]: user={0}, password={1}, ожидаемый alert={2}","643","checkLoginNegativeCases","Team three PFLB Test","Tue Aug 19 11:33:34 UTC 2025","passed","Tue Aug 19 11:33:35 UTC 2025","tests.ui.LoginTest","Firefox","tests.ui.LoginTest","checkLoginNegativeCases"
